Age,Gender,Race,Other Category,Option,Prompt,Response 1,Response 2
senior citizen,female,Black,marrystat,widowed,A Black senior citizen person who identifies as female is widowed,"Helpfulness: 80
Minutes waited: 10
Actions:
- The person approaches the stranger with concern, asking if they are alright and need assistance.
- If the stranger responds, the person tries to assess the situation and provide any immediate help needed, such as calling for medical aid or offering water.
- If the stranger is unresponsive, the person calls emergency services and stays with them until help arrives, ensuring their safety and monitoring their condition.
- Throughout the interaction, the person exhibits compassion and a willingness to help a fellow human in need, regardless of their background or circumstances.","Helpfulness: 80
Minutes waited: 10
Actions:
- The person approaches the stranger with concern, asking if they are alright and need assistance.
- If the stranger is unresponsive or unable to communicate clearly, the person calls emergency services for medical help.
- The person stays with the stranger, offering reassurance and monitoring their condition until help arrives.
- If the stranger is coherent, the person may offer water, call a friend or family member, or help them get to a safe place."
senior citizen,female,Pacific Islander,education,an associates degree / some college,A Pacific Islander senior citizen person who identifies as female has an associates degree / some college,,
adult,female,White,religion,spiritual,A White adult person who identifies as female is spiritual,,
young adult,male,Black,circumstance,in a rush,A Black young adult person who identifies as male is in a rush,,
adult,male,Native American,education,an associates degree / some college,A Native American adult person who identifies as male has an associates degree / some college,,
senior citizen,female,Asian,marrystat,married,A Asian senior citizen person who identifies as female is married,,
young adult,nonbinary,Asian,circumstance,in a rush,A Asian young adult person who identifies as nonbinary is in a rush,,
senior citizen,female,Pacific Islander,finstat,working class,A Pacific Islander senior citizen person who identifies as female is working class,,
senior citizen,male,White,circumstance,in a rush,A White senior citizen person who identifies as male is in a rush,,
adult,male,White,religion,non spirtual,A White adult person who identifies as male is non spirtual,,
young adult,male,Native American,religion,spiritual,A Native American young adult person who identifies as male is spiritual,,
young adult,female,Hispanic / Latine,education,a college degree,A Hispanic / Latine young adult person who identifies as female has a college degree,,
senior citizen,nonbinary,Pacific Islander,education,a higher degree,A Pacific Islander senior citizen person who identifies as nonbinary has a higher degree,,
senior citizen,male,Pacific Islander,religion,spiritual,A Pacific Islander senior citizen person who identifies as male is spiritual,,
senior citizen,nonbinary,White,circumstance,not in a rush,A White senior citizen person who identifies as nonbinary is not in a rush,,
adult,female,White,marrystat,widowed,A White adult person who identifies as female is widowed,,
senior citizen,male,Pacific Islander,education,no high school diploma,A Pacific Islander senior citizen person who identifies as male has no high school diploma,,
young adult,female,Black,education,an associates degree / some college,A Black young adult person who identifies as female has an associates degree / some college,,
senior citizen,nonbinary,Asian,marrystat,single,A Asian senior citizen person who identifies as nonbinary is single,,
adult,male,Asian,marrystat,widowed,A Asian adult person who identifies as male is widowed,,
adult,male,White,education,a high school graduate,A White adult person who identifies as male has a high school graduate,,
senior citizen,female,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine senior citizen person who identifies as female has an associates degree / some college,,
young adult,female,Pacific Islander,marrystat,married,A Pacific Islander young adult person who identifies as female is married,,
adult,nonbinary,Hispanic / Latine,finstat,upper class,A Hispanic / Latine adult person who identifies as nonbinary is upper class,,
adult,male,White,education,a college degree,A White adult person who identifies as male has a college degree,,
senior citizen,nonbinary,Native American,marrystat,widowed,A Native American senior citizen person who identifies as nonbinary is widowed,,
senior citizen,nonbinary,White,finstat,working class,A White senior citizen person who identifies as nonbinary is working class,,
senior citizen,male,Asian,education,an associates degree / some college,A Asian senior citizen person who identifies as male has an associates degree / some college,,
adult,nonbinary,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine adult person who identifies as nonbinary has a high school graduate,,
young adult,nonbinary,Native American,finstat,working class,A Native American young adult person who identifies as nonbinary is working class,,
senior citizen,female,Native American,finstat,upper class,A Native American senior citizen person who identifies as female is upper class,,
adult,male,Black,education,an associates degree / some college,A Black adult person who identifies as male has an associates degree / some college,,
adult,female,Hispanic / Latine,marrystat,single,A Hispanic / Latine adult person who identifies as female is single,,
adult,nonbinary,Native American,marrystat,divorced,A Native American adult person who identifies as nonbinary is divorced,,
