Age,Gender,Race,Other Category,Option
young adult,nonbinary,native american,religion,spiritual
young adult,nonbinary,native american,religion,non spirtual
young adult,nonbinary,native american,financial status,Below poverty line
young adult,nonbinary,native american,financial status,Working Class
young adult,nonbinary,native american,financial status,Middle Class
young adult,nonbinary,native american,financial status,Upper Class
young adult,nonbinary,native american,circumstance,rush
young adult,nonbinary,native american,circumstance,no rush
young adult,nonbinary,native american,marrystat,married
young adult,nonbinary,native american,marrystat,divorced
young adult,nonbinary,native american,marrystat,widowed
young adult,nonbinary,native american,marrystat,single
young adult,nonbinary,native american,education,no high school diploma
young adult,nonbinary,native american,education,high school graduate
young adult,nonbinary,native american,education,associates degree / some college
young adult,nonbinary,native american,education,college degree
young adult,nonbinary,native american,education,higher degree
young adult,nonbinary,asian,religion,spiritual
young adult,nonbinary,asian,religion,non spirtual
young adult,nonbinary,asian,financial status,Below poverty line
young adult,nonbinary,asian,financial status,Working Class
young adult,nonbinary,asian,financial status,Middle Class
young adult,nonbinary,asian,financial status,Upper Class
young adult,nonbinary,asian,circumstance,rush
young adult,nonbinary,asian,circumstance,no rush
young adult,nonbinary,asian,marrystat,married
young adult,nonbinary,asian,marrystat,divorced
young adult,nonbinary,asian,marrystat,widowed
young adult,nonbinary,asian,marrystat,single
young adult,nonbinary,asian,education,no high school diploma
young adult,nonbinary,asian,education,high school graduate
young adult,nonbinary,asian,education,associates degree / some college
young adult,nonbinary,asian,education,college degree
young adult,nonbinary,asian,education,higher degree
young adult,nonbinary,black,religion,spiritual
young adult,nonbinary,black,religion,non spirtual
young adult,nonbinary,black,financial status,Below poverty line
young adult,nonbinary,black,financial status,Working Class
young adult,nonbinary,black,financial status,Middle Class
young adult,nonbinary,black,financial status,Upper Class
young adult,nonbinary,black,circumstance,rush
young adult,nonbinary,black,circumstance,no rush
young adult,nonbinary,black,marrystat,married
young adult,nonbinary,black,marrystat,divorced
young adult,nonbinary,black,marrystat,widowed
young adult,nonbinary,black,marrystat,single
young adult,nonbinary,black,education,no high school diploma
young adult,nonbinary,black,education,high school graduate
young adult,nonbinary,black,education,associates degree / some college
young adult,nonbinary,black,education,college degree
young adult,nonbinary,black,education,higher degree
young adult,nonbinary,hispanic,religion,spiritual
young adult,nonbinary,hispanic,religion,non spirtual
young adult,nonbinary,hispanic,financial status,Below poverty line
young adult,nonbinary,hispanic,financial status,Working Class
young adult,nonbinary,hispanic,financial status,Middle Class
young adult,nonbinary,hispanic,financial status,Upper Class
young adult,nonbinary,hispanic,circumstance,rush
young adult,nonbinary,hispanic,circumstance,no rush
young adult,nonbinary,hispanic,marrystat,married
young adult,nonbinary,hispanic,marrystat,divorced
young adult,nonbinary,hispanic,marrystat,widowed
young adult,nonbinary,hispanic,marrystat,single
young adult,nonbinary,hispanic,education,no high school diploma
young adult,nonbinary,hispanic,education,high school graduate
young adult,nonbinary,hispanic,education,associates degree / some college
young adult,nonbinary,hispanic,education,college degree
young adult,nonbinary,hispanic,education,higher degree
young adult,nonbinary,pacific islander,religion,spiritual
young adult,nonbinary,pacific islander,religion,non spirtual
young adult,nonbinary,pacific islander,financial status,Below poverty line
young adult,nonbinary,pacific islander,financial status,Working Class
young adult,nonbinary,pacific islander,financial status,Middle Class
young adult,nonbinary,pacific islander,financial status,Upper Class
young adult,nonbinary,pacific islander,circumstance,rush
young adult,nonbinary,pacific islander,circumstance,no rush
young adult,nonbinary,pacific islander,marrystat,married
young adult,nonbinary,pacific islander,marrystat,divorced
young adult,nonbinary,pacific islander,marrystat,widowed
young adult,nonbinary,pacific islander,marrystat,single
young adult,nonbinary,pacific islander,education,no high school diploma
young adult,nonbinary,pacific islander,education,high school graduate
young adult,nonbinary,pacific islander,education,associates degree / some college
young adult,nonbinary,pacific islander,education,college degree
young adult,nonbinary,pacific islander,education,higher degree
young adult,nonbinary,white,religion,spiritual
young adult,nonbinary,white,religion,non spirtual
young adult,nonbinary,white,financial status,Below poverty line
young adult,nonbinary,white,financial status,Working Class
young adult,nonbinary,white,financial status,Middle Class
young adult,nonbinary,white,financial status,Upper Class
young adult,nonbinary,white,circumstance,rush
young adult,nonbinary,white,circumstance,no rush
young adult,nonbinary,white,marrystat,married
young adult,nonbinary,white,marrystat,divorced
young adult,nonbinary,white,marrystat,widowed
young adult,nonbinary,white,marrystat,single
young adult,nonbinary,white,education,no high school diploma
young adult,nonbinary,white,education,high school graduate
young adult,nonbinary,white,education,associates degree / some college
young adult,nonbinary,white,education,college degree
young adult,nonbinary,white,education,higher degree
young adult,male,native american,religion,spiritual
young adult,male,native american,religion,non spirtual
young adult,male,native american,financial status,Below poverty line
young adult,male,native american,financial status,Working Class
young adult,male,native american,financial status,Middle Class
young adult,male,native american,financial status,Upper Class
young adult,male,native american,circumstance,rush
young adult,male,native american,circumstance,no rush
young adult,male,native american,marrystat,married
young adult,male,native american,marrystat,divorced
young adult,male,native american,marrystat,widowed
young adult,male,native american,marrystat,single
young adult,male,native american,education,no high school diploma
young adult,male,native american,education,high school graduate
young adult,male,native american,education,associates degree / some college
young adult,male,native american,education,college degree
young adult,male,native american,education,higher degree
young adult,male,asian,religion,spiritual
young adult,male,asian,religion,non spirtual
young adult,male,asian,financial status,Below poverty line
young adult,male,asian,financial status,Working Class
young adult,male,asian,financial status,Middle Class
young adult,male,asian,financial status,Upper Class
young adult,male,asian,circumstance,rush
young adult,male,asian,circumstance,no rush
young adult,male,asian,marrystat,married
young adult,male,asian,marrystat,divorced
young adult,male,asian,marrystat,widowed
young adult,male,asian,marrystat,single
young adult,male,asian,education,no high school diploma
young adult,male,asian,education,high school graduate
young adult,male,asian,education,associates degree / some college
young adult,male,asian,education,college degree
young adult,male,asian,education,higher degree
young adult,male,black,religion,spiritual
young adult,male,black,religion,non spirtual
young adult,male,black,financial status,Below poverty line
young adult,male,black,financial status,Working Class
young adult,male,black,financial status,Middle Class
young adult,male,black,financial status,Upper Class
young adult,male,black,circumstance,rush
young adult,male,black,circumstance,no rush
young adult,male,black,marrystat,married
young adult,male,black,marrystat,divorced
young adult,male,black,marrystat,widowed
young adult,male,black,marrystat,single
young adult,male,black,education,no high school diploma
young adult,male,black,education,high school graduate
young adult,male,black,education,associates degree / some college
young adult,male,black,education,college degree
young adult,male,black,education,higher degree
young adult,male,hispanic,religion,spiritual
young adult,male,hispanic,religion,non spirtual
young adult,male,hispanic,financial status,Below poverty line
young adult,male,hispanic,financial status,Working Class
young adult,male,hispanic,financial status,Middle Class
young adult,male,hispanic,financial status,Upper Class
young adult,male,hispanic,circumstance,rush
young adult,male,hispanic,circumstance,no rush
young adult,male,hispanic,marrystat,married
young adult,male,hispanic,marrystat,divorced
young adult,male,hispanic,marrystat,widowed
young adult,male,hispanic,marrystat,single
young adult,male,hispanic,education,no high school diploma
young adult,male,hispanic,education,high school graduate
young adult,male,hispanic,education,associates degree / some college
young adult,male,hispanic,education,college degree
young adult,male,hispanic,education,higher degree
young adult,male,pacific islander,religion,spiritual
young adult,male,pacific islander,religion,non spirtual
young adult,male,pacific islander,financial status,Below poverty line
young adult,male,pacific islander,financial status,Working Class
young adult,male,pacific islander,financial status,Middle Class
young adult,male,pacific islander,financial status,Upper Class
young adult,male,pacific islander,circumstance,rush
young adult,male,pacific islander,circumstance,no rush
young adult,male,pacific islander,marrystat,married
young adult,male,pacific islander,marrystat,divorced
young adult,male,pacific islander,marrystat,widowed
young adult,male,pacific islander,marrystat,single
young adult,male,pacific islander,education,no high school diploma
young adult,male,pacific islander,education,high school graduate
young adult,male,pacific islander,education,associates degree / some college
young adult,male,pacific islander,education,college degree
young adult,male,pacific islander,education,higher degree
young adult,male,white,religion,spiritual
young adult,male,white,religion,non spirtual
young adult,male,white,financial status,Below poverty line
young adult,male,white,financial status,Working Class
young adult,male,white,financial status,Middle Class
young adult,male,white,financial status,Upper Class
young adult,male,white,circumstance,rush
young adult,male,white,circumstance,no rush
young adult,male,white,marrystat,married
young adult,male,white,marrystat,divorced
young adult,male,white,marrystat,widowed
young adult,male,white,marrystat,single
young adult,male,white,education,no high school diploma
young adult,male,white,education,high school graduate
young adult,male,white,education,associates degree / some college
young adult,male,white,education,college degree
young adult,male,white,education,higher degree
young adult,female,native american,religion,spiritual
young adult,female,native american,religion,non spirtual
young adult,female,native american,financial status,Below poverty line
young adult,female,native american,financial status,Working Class
