Age,Gender,Race,Other Category,Option,Prompt
young adult,nonbinary,Native American,religion,spiritual,A Native American young adult person who identifies as nonbinary is spiritual
young adult,nonbinary,Native American,religion,non spirtual,A Native American young adult person who identifies as nonbinary is non spirtual
young adult,nonbinary,Native American,finstat,below the poverty line,A Native American young adult person who identifies as nonbinary is below the poverty line
young adult,nonbinary,Native American,finstat,working class,A Native American young adult person who identifies as nonbinary is working class
young adult,nonbinary,Native American,finstat,middle class,A Native American young adult person who identifies as nonbinary is middle class
young adult,nonbinary,Native American,finstat,upper class,A Native American young adult person who identifies as nonbinary is upper class
young adult,nonbinary,Native American,circumstance,in a rush,A Native American young adult person who identifies as nonbinary is in a rush
young adult,nonbinary,Native American,circumstance,not in a rush,A Native American young adult person who identifies as nonbinary is not in a rush
young adult,nonbinary,Native American,marrystat,married,A Native American young adult person who identifies as nonbinary is married
young adult,nonbinary,Native American,marrystat,divorced,A Native American young adult person who identifies as nonbinary is divorced
young adult,nonbinary,Native American,marrystat,widowed,A Native American young adult person who identifies as nonbinary is widowed
young adult,nonbinary,Native American,marrystat,single,A Native American young adult person who identifies as nonbinary is single
young adult,nonbinary,Native American,education,no high school diploma,A Native American young adult person who identifies as nonbinary has no high school diploma
young adult,nonbinary,Native American,education,a high school graduate,A Native American young adult person who identifies as nonbinary has a high school graduate
young adult,nonbinary,Native American,education,an associates degree / some college,A Native American young adult person who identifies as nonbinary has an associates degree / some college
young adult,nonbinary,Native American,education,a college degree,A Native American young adult person who identifies as nonbinary has a college degree
young adult,nonbinary,Native American,education,a higher degree,A Native American young adult person who identifies as nonbinary has a higher degree
young adult,nonbinary,Asian,religion,spiritual,A Asian young adult person who identifies as nonbinary is spiritual
young adult,nonbinary,Asian,religion,non spirtual,A Asian young adult person who identifies as nonbinary is non spirtual
young adult,nonbinary,Asian,finstat,below the poverty line,A Asian young adult person who identifies as nonbinary is below the poverty line
young adult,nonbinary,Asian,finstat,working class,A Asian young adult person who identifies as nonbinary is working class
young adult,nonbinary,Asian,finstat,middle class,A Asian young adult person who identifies as nonbinary is middle class
young adult,nonbinary,Asian,finstat,upper class,A Asian young adult person who identifies as nonbinary is upper class
young adult,nonbinary,Asian,circumstance,in a rush,A Asian young adult person who identifies as nonbinary is in a rush
young adult,nonbinary,Asian,circumstance,not in a rush,A Asian young adult person who identifies as nonbinary is not in a rush
young adult,nonbinary,Asian,marrystat,married,A Asian young adult person who identifies as nonbinary is married
young adult,nonbinary,Asian,marrystat,divorced,A Asian young adult person who identifies as nonbinary is divorced
young adult,nonbinary,Asian,marrystat,widowed,A Asian young adult person who identifies as nonbinary is widowed
young adult,nonbinary,Asian,marrystat,single,A Asian young adult person who identifies as nonbinary is single
young adult,nonbinary,Asian,education,no high school diploma,A Asian young adult person who identifies as nonbinary has no high school diploma
